Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
Easy Healthy Recipes for free app,com.endless.easyrecipes,Food & Drink,4.2,371,"100,000+",100000,132304,true,0,USD,Varies with device,Varies with device,Endless,http://www.cookitrecipes.com/,infinitewallpapers@gmail.com,"Jan 6, 2015",1590142370000,Everyone,http://www.cookitrecipes.com/privacy.php,true,true,false
"eBay - Buy, sell, and discover summer deals today",com.ebay.mobile,Shopping,4.6,3333918,"100,000,000+",100000000,274072606,true,0,USD,Varies with device,Varies with device,eBay Mobile,http://www.ebay.com,androidhelp@ebay.com,"Feb 17, 2010",1594245922000,Teen,http://ebay.to/1ur6UQ4,true,false,true
Fast Food Locator | Worldwide Fast Food Finder,de.pnpq.fflocator,Travel & Local,3.7,91,"10,000+",10000,22445,true,0,USD,4.9M,5.0 and up,â­ POSITIVE INFINITY,https://positive-infinity.github.io/,positive.infinity.development@gmail.com,"Jun 1, 2014",1593545214000,Everyone,https://positive-infinity.github.io/privacy-apps.html,true,true,false
Food Planner,dk.boggie.madplan.android,Food & Drink,3.7,10927,"1,000,000+",1000000,1796724,true,0,USD,13M,4.2 and up,MiniMobile,http://www.foodplannerapp.com,support@foodplannerapp.com,"Mar 6, 2011",1569352725000,Everyone,http://www.foodplannerapp.com/site/Privacy_Tos_Eula,true,true,false
foodpanda - Local Food & Grocery Delivery,com.global.foodpanda.android,Food & Drink,4.4,1258493,"10,000,000+",10000000,48828081,true,0,USD,21M,4.3 and up,Foodpanda GmbH a subsidiary of Delivery Hero SE,http://foodpanda.com,appsupport@foodpanda.com,"Nov 19, 2013",1594061045000,Everyone,https://www.foodpanda.sg/contents/privacy.htm,false,false,false
FreshDirect,com.freshdirect.android,Shopping,2.1,893,"100,000+",100000,184884,true,0,USD,59M,5.0 and up,FRESH DIRECT HOLDINGS,http://www.freshdirect.com/help,applicationdevelopment@freshdirect.com,"Aug 25, 2011",1593701103000,Everyone,https://www.freshdirect.com/help/privacy_policy.jsp,true,false,false
Grocery Coupons - Clip + Save,com.gcouponapp.app,Shopping,3.9,724,"100,000+",100000,199479,true,0,USD,5.7M,4.1 and up,Richmond Data and Publishing,http://gcouponapp.com,support@gcouponapp.com,"Apr 9, 2015",1573194474000,Everyone,http://gcouponapp.com/privacy/,true,false,false
Idealz - Online Shopping Reimagined,app.android.idealz.com,Shopping,4.0,307,"50,000+",50000,81410,true,0,USD,24M,4.4 and up,Idealz Enterprises LLC,https://www.idealz.com,support@idealz.com,"May 27, 2019",1594728090000,Everyone,https://www.idealz.com/privacy-policy/,false,false,false
iFood - Delivery de Comida e Mercado,br.com.brainweb.ifood,Food & Drink,4.5,2164335,"50,000,000+",50000000,53264506,true,0,USD,Varies with device,Varies with device,iFood Delivery de Comida e Mercado,http://www.ifood.com.br,ifood@ifood.com.br,"Apr 25, 2012",1595286121000,Everyone,https://www.ifood.com.br/privacidade,false,false,false
Kitchen Stories - Recipes & Cooking,com.ajnsnewmedia.kitchenstories,Food & Drink,4.7,29449,"1,000,000+",1000000,2636495,true,0,USD,Varies with device,5.0 and up,Kitchen Stories,https://www.kitchenstories.com/,hello@kitchenstories.de,"May 28, 2015",1595403257000,Everyone,https://www.kitchenstories.com/en/privacy/,true,true,true
Lunch Recipes,com.cookware.lunchrecipes,Food & Drink,4.4,2926,"1,000,000+",1000000,1172926,true,0,USD,Varies with device,Varies with device,Fitness Circle,http://fitnesscircle.in/,crisptechno@gmail.com,"Jun 17, 2015",1594705959000,Everyone,http://fitnesscircle.in/privacy.php,true,true,false
Magic Tiles 3,com.youmusic.magictiles,Music,3.9,1669739,"100,000,000+",100000000,288654571,true,0,USD,Varies with device,4.1 and up,AMANOTES,https://amanotes.com/,magictiles3.support@amanotes.com,"Feb 24, 2017",1594828577000,Everyone,https://amanotes.com/privacy-policy,true,true,false
Marshmello Music Dance,com.game.jam.dj.marshmello.music.dance,Music,4.6,21667,"1,000,000+",1000000,3894075,true,0,USD,105M,4.4 and up,Gamejam,https://gamejam.co/,hello@gamejam.co,"Jul 2, 2019",1594906589000,Everyone,https://gamejam.co/privacy,true,true,false
Martha Stewart TV,com.marthastewarttv,Lifestyle,4.1,28,"1,000+",1000,4820,true,0,USD,29M,4.3 and up,Martha Stewart Living Omnimedia (Marquee Brands),https://www.marthastewart.tv/,ottsupport@vimeo.com,"Sep 25, 2018",1594757672000,Everyone,http://www.marthastewart.tv/privacy,false,true,false
My CookBook Ad-Free,fr.cookbookpro,Food & Drink,4.7,2531,"10,000+",10000,16171,false,5.99,USD,Varies with device,Varies with device,Maadinfo Services,https://www.mycookbook-online.net,support@mycookbook-online.net,"Sep 25, 2011",1594105888000,Everyone,https://www.mycookbook-android.com/site/privacy-policy,false,false,false
News Break - Local Headlines & Breaking News,com.particlenews.newsbreak,News & Magazines,4.4,180685,"10,000,000+",10000000,31623936,true,0,USD,11M,5.0 and up,Particle Media Inc.,https://www.newsbreakapp.com,help@particle-inc.com,"Jun 17, 2016",1595406282000,Teen,https://www.newsbreakapp.com/privacy,true,false,false
One-Moment MeditationÂ®,com.onemomentmeditation.omm1,Health & Fitness,4.8,1152,"100,000+",100000,102075,true,0,USD,46M,4.1 and up,The One Moment Company LLC,http://www.onemomentcompany.com,apphelp@onemomentmeditation.com,"Oct 15, 2014",1588272867000,Everyone,http://onemomentcompany.com/privacy-policy/,false,false,false
Outback,com.outback.tampa,Food & Drink,4.2,8433,"1,000,000+",1000000,1158562,true,0,USD,99M,4.1 and up,"Outback Steakhouse of Florida, LLC",https://www.outback.com/app,news@outback.com,"Sep 9, 2015",1589210265000,Everyone,https://www.outback.com/privacy-policy,false,false,false
"Pandora - Streaming Music, Radio & Podcasts",com.pandora.android,Music & Audio,4.2,3220900,"100,000,000+",100000000,263523289,true,0,USD,Varies with device,Varies with device,Pandora,http://www.pandora.com,pandora-support@pandora.com,"",1595277050000,Teen,http://www.pandora.com/privacy,true,true,false
Peapod Delivery,com.peapod.app.mobile.droid,Shopping,2.8,2487,"500,000+",500000,571969,true,0,USD,30M,4.4 and up,Peapod.com,http://www.peapod.com,service@peapod.com,"Sep 2, 2010",1594497711000,Everyone,https://about.peapod.com/privacy-policy/,true,false,false
Picap,co.picap.passenger,Travel & Local,4.1,93107,"1,000,000+",1000000,4630334,true,0,USD,28M,4.2 and up,Picap,https://www.picap.app,soporte@picap.app,"Aug 13, 2016",1595278322000,Everyone,http://www.picap.app/privacy,true,false,false
QFC,com.qfc.mobile,Shopping,3.6,518,"100,000+",100000,208325,true,0,USD,71M,5.0 and up,The Kroger Co.,http://www.qfc.com,android.support@kroger.com,"Dec 19, 2012",1595373137000,Everyone,https://www.qfc.com/topic/privacy-policy,false,false,false
Rappi Partner Growth,com.rappi.partners,Productivity,3.5,244,"50,000+",50000,65608,true,0,USD,6.9M,5.0 and up,"Rappi, Inc - Delivery",https://partners.rappi.com/,partnerapp@rappi.com,"Jun 10, 2019",1594681409000,Everyone,https://legal.rappi.com/,false,false,false
RappiAliado,com.rappi.restaurants,Food & Drink,3.1,2234,"100,000+",100000,255292,true,0,USD,6.1M,4.1 and up,"Rappi, Inc - Delivery",http://www.grability.com,simon@grability.com,"Jan 25, 2017",1594614573000,Everyone,http://v2.grability.rappi.com/api/embedded/terms_conditions/storekeeper,false,false,false
Restaurant Dashboard,com.uber.restaurants,Business,2.7,613,"100,000+",100000,398007,true,0,USD,22M,6.0 and up,"Uber Technologies, Inc.",https://help.uber.com/restaurants,support@uber.com,"Mar 16, 2020",1594934757000,Everyone,https://privacy.uber.com/policy/,false,false,false
"RetailMeNot: Coupons, Deals & Discounts",com.whaleshark.retailmenot,Shopping,4.7,217190,"10,000,000+",10000000,18149937,true,0,USD,Varies with device,Varies with device,RetailMeNot Inc.,http://www.retailmenot.com/contact,appsupport@retailmenot.com,"Aug 29, 2012",1595258917000,Everyone,http://www.retailmenot.com/static/privacy/,true,false,true
Rue La La - Shop Top Fashion,com.retailconvergence.ruelala,Shopping,4.7,6380,"500,000+",500000,652536,true,0,USD,Varies with device,7.0 and up,"Rue La La, Inc.",https://www.ruelala.com/boutique/,mobilehelp@RueLaLa.com,"Sep 1, 2010",1595346265000,Everyone,https://help.ruelala.com/hc/en-us/articles/360011471454-Privacy-Policy,false,false,false
Safeway Delivery & Pick Up,com.safeway.shop,Shopping,4.2,5532,"500,000+",500000,816102,true,0,USD,12M,7.0 and up,"Albertsons Companies, Inc.",http://www.safeway.com,homeshopping@customerservice.safeway.com,"Sep 5, 2013",1594921910000,Everyone,http://www.safeway.com/ShopStores/Privacy-Policy.page,false,false,false
Schwan's Home Delivery,com.schwans.homeservices,Shopping,4.1,5387,"500,000+",500000,816568,true,0,USD,24M,4.0.3 and up,"Cygnus Home Service, LLC",https://www.schwans.com/secure/customer-service/contact-us,appfeedback@cygnusdelivers.com,"Aug 19, 2013",1594875661000,Everyone,https://www.schwans.com/policies/privacy-policy,false,false,false
Seamless: Restaurant Takeout & Food Delivery App,com.seamlessweb.android.view,Food & Drink,4.3,48130,"1,000,000+",1000000,1631882,true,0,USD,46M,5.0 and up,Seamless,http://www.seamless.com,seamlessandroid@grubhub.com,"Jan 13, 2011",1595024809000,Everyone,http://www.seamless.com/legal/#privacyAgreement,false,false,false
Shrimp Recipes,com.endless.shrimprecipes,Food & Drink,4.6,239,"50,000+",50000,68987,true,0,USD,Varies with device,Varies with device,Endless,http://www.cookitrecipes.com/,infinitewallpapers@gmail.com,"Oct 12, 2016",1591605392000,Everyone,http://www.cookitrecipes.com/privacy.php,true,true,false
Talabat: Food & Grocery Delivery,com.talabat,Food & Drink,4.4,197649,"5,000,000+",5000000,9218590,true,0,USD,Varies with device,Varies with device,Talabat,http://www.talabat.com,info@talabat.com,"Jan 19, 2012",1594821076000,Mature 17+,https://www.talabat.com/kuwait/privacy,true,false,false
The Coffee BeanÂ® Rewards,com.coffeebean.apps.production,Food & Drink,3.5,718,"100,000+",100000,196525,true,0,USD,52M,7.0 and up,"International Coffee And Tea, Inc",http://www.coffeebean.com,info@coffeebean.com,"Sep 27, 2016",1593039667000,Everyone,http://www.coffeebeanrewards.com/privacy,false,false,false
"Tripadvisor Hotel, Flight & Restaurant Bookings",com.tripadvisor.tripadvisor,Travel & Local,4.4,1360172,"100,000,000+",100000000,371284181,true,0,USD,Varies with device,Varies with device,Tripadvisor,https://www.tripadvisor.com/help,mobilehelp@tripadvisor.com,"Jul 12, 2010",1593700848000,Everyone,https://www.tripadvisor.com/pages/privacy.html,true,false,false
Twitch: Livestream Multiplayer Games & Esports,tv.twitch.android.app,Entertainment,4.6,3446419,"100,000,000+",100000000,113183251,true,0,USD,Varies with device,5.0 and up,"Twitch Interactive, Inc.",http://www.twitch.tv,android@twitch.tv,"May 20, 2015",1595290768000,Teen,http://www.twitch.tv/user/legal?page=privacy_policy,true,true,false
Uber - Request a ride,com.ubercab,Maps & Navigation,3.9,7044992,"500,000,000+",500000000,580579781,true,0,USD,Varies with device,Varies with device,"Uber Technologies, Inc.",http://www.uber.com,support@uber.com,"Oct 28, 2010",1595270715000,Everyone,https://www.uber.com/privacy,false,false,false
Vacation Rentals Owner App by TripAdvisor,com.tripadvisor.android.vr.owner,Travel & Local,3.5,1765,"100,000+",100000,415929,true,0,USD,Varies with device,Varies with device,Tripadvisor,http://rentals.tripadvisor.com,vrownerappfeedback@tripadvisor.com,"Oct 20, 2015",1561994610000,Everyone,https://rentals.tripadvisor.com/privacy,false,false,false
Yelp for Business,com.yelp.android.biz,Business,3.6,4076,"500,000+",500000,772805,true,0,USD,33M,5.0 and up,"Yelp, Inc",https://biz.yelp.com/,feedback+biz-android@yelp.com,"Dec 15, 2014",1594937042000,Everyone,http://www.yelp.com/static?p=privacy,false,false,false
"Yelp: Find Food, Delivery & Services Nearby",com.yelp.android,Food & Drink,4.1,453646,"50,000,000+",50000000,51624426,true,0,USD,Varies with device,Varies with device,"Yelp, Inc",http://www.yelp.com,feedback+android@yelp.com,"",1595287900000,Teen,http://www.yelp.com/static?p=privacy,true,false,true
Zomato - Restaurant Finder and Food Delivery App,com.application.zomato,Food & Drink,4.1,4275284,"100,000,000+",100000000,109008536,true,0,USD,20M,5.0 and up,Zomato,https://www.zomato.com,android@zomato.com,"Jan 10, 2011",1595406437000,Everyone,http://www.zomato.com/privacy,true,false,true
